id;Fecha;Ruta;Operadora;Proposito_del_Vuelo;Tipo_de_Aeronave;N_Registro;Total_abordo;Pasajeros_Abordo;Tripulacion_Abordo;N_Fallecidos;Pasajeros_Fallecidos;Tripulacion_Fallecida;Fallecidos_en_Tierra;año
32;1919-12-11;Catherham, Surrey, UK;Aircraft Travel Transport;Paris - Hounslow;de Havilland DH-4;G-EAHF;1;1;1;1;1;1;0;1919
34;1920-03-30;Newark, New Jersey;US Aerial Mail Service;Washington - Newark;De Havilland DH-4;72;1;0;1;1;0;1;0;1920
49;1920-12-14;London, England;Handley Page Transport;London - Paris;Handley Page HP-16;G-EAMA;8;6;2;4;2;2;0;1920
61;1921-09-06;Paris, France;Franco-Roumaine;Warsaw - Prague - Strasbourg - Paris;Potez IX;F-ADCD;5;4;1;5;4;1;0;1921
62;1921-12-05;Near Murchinson River, Australia;West Australian Airways;Geraldton - Derby;Bristol 28 Tourer;G-AUDI;2;0;2;2;0;2;0;1921
66;1922-04-07;Grandvilliers, France;Daimler Airways / Grands Express Aeriens;Croydon - Le Bourget;de Havilland DH-18 / Farman F-60 Goliath;G-EAOW/FGEAD;7;5;2;7;5;2;0;1922
68;1922-06-03;Off Folkestone, Kent, England;Cie des Messageries Aeriennes;Croydon - Paris;Bleriot Spad 27;F-ACMH;3;2;1;3;2;1;0;1922
70;1922-07-16;Near Saverne, Lorraine, France;Compagnie Franco-Roumaine de Navigaation Aerienne;Strasbourg - Paris;Potez 29;F-FREI;5;4;1;5;4;1;0;1922
73;1922-10-02;Venice, Italy;de Havilland Air Service;Venice - London;de Havilland DH-9;G-EAYT;4;3;1;4;3;1;0;1922
75;1922-12-03;Fez, Morocco;Grands Express Aeriens;Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat;Breguet 14;F-ALNA;1;0;1;1;0;1;0;1922
80;1923-05-14;Near Amiens, Picrdie, France;Grands Express Aeriens (Air Union);Paris - London;Farman F-60 Goliath;F-AEBY;6;4;2;6;4;2;0;1923
81;1923-08-27;East Mallling, United Kingdom;Air Union;Paris - Berck-sur-Mer - Croydon;Farman F.60 Goliath;F-AECB;11;9;2;1;1;0;0;1923
84;1923-09-14;Near Ivinghoe, Buckinghamshire, England;Daimler Airways;Croydon - Manchester;de Havilland DH-34;G-EBBS;5;3;2;5;3;2;0;1923
90;1924-04-24;Over the English Channel;KLM Royal Dutch Airlines;Lympne, England - Rotterdam, The Netherlands;Fokker F.III;H-NABS;3;2;1;3;2;1;0;1924
91;1924-06-08;Barranquilla, Colombia;SCADTA;Barranquilla - Bogota;Junkers F-13;A16;5;3;2;5;3;2;0;1924
95;1924-12-24;Purley, England;Imperial Airways;London - Paris;de Havilland DH-34B;G-EBBX;8;7;1;8;7;1;0;1924
96;1925-03-22;Near Tiflis, Georgia, USSR;Zakavia;Tiflis - Suchumi;Junkers F-13;R-RECA;5;3;2;5;3;2;0;1925
97;1925-04-25;Alicante, Spain;Grands Express Aeriens;Alicante - Barcelona - Toulouse;Breguet 14;F-AFBB;3;1;2;3;1;2;0;1925
98;1925-06-25;Landrécies, France;KLM Royal Dutch Airlines;Amsterdam - Paris;Fokker (KLM)  F.III;H-NABM;4;3;1;4;3;1;0;1925
99;1925-06-26;Alicante, Spain;Grands Express Aeriens;Oran - Alicante;Lioré-et-Olivier LeO H-13;F-FREM;2;0;2;2;0;2;0;1925
100;1925-07-20;Rosas, Spain;Lignes Aeriennes Latecoere;Toulouse - Barcelona;Breguet 14;F-AFBI;1;0;1;1;0;1;0;1925
102;1925-09-03;Caldwell, Ohio;Military - U.S. Navy;Lakehurst, NJ - S.t Louis, MO;Dirigible ZR-1 Shenandoah (airship);ZR-1;43;0;43;14;0;14;0;1925
104;1925-10-01;Mt. Nittany, Ohio;US Aerial Mail Service;New York - San Francisco;De Havilland DH-4;385;1;0;1;1;0;1;0;1925
109;1926-05-31;English Channel;Air Union;Paris - Cryodon;Breguet 14;F-ADAI;1;0;1;1;0;1;0;1926
110;1926-07-03;Rossaugpt, Czechoslovakia;Compagnie Internationale de Navigation Aérienne;Paris - Prague - Budapest;Caudron C-61;F-AFBT;6;4;2;6;4;2;0;1926
111;1926-07-09;Wolvertem, Belgium;KLM Royal Dutch Airlines;Amsterdam - Rotterdam - Brussels - Paris;Fokker F7;H-NACC;2;1;1;2;1;1;0;1926
